Image,Group,Row,Col,Size
3,74,J,19,0
3,74,J,21,0
3,74,J,23,0
3,80,L,2,0
3,80,L,4,4
3,80,L,6,0
3,72,L,10,0
3,72,L,12,0
3,72,L,14,0
3,74,L,19,0
3,74,L,21,0
3,74,L,23,0
3,80,N,2,0
3,80,N,4,0
3,80,N,6,7
3,72,N,10,4
3,72,N,12,0
3,72,N,14,4
3,74,N,19,4
3,74,N,21,0
3,74,N,23,0
3,80,P,2,0
3,80,P,4,0
3,80,P,6,9
3,72,P,10,4
3,72,P,12,0
3,72,P,14,0
3,74,P,19,0
3,74,P,21,4
3,74,P,23,0
4,76,A,2,0
4,76,A,4,7
4,76,A,6,0
4,124,A,11,0
4,124,A,13,0
4,124,A,15,4
4,126,A,19,0
4,126,A,21,0
4,126,A,23,0
4,76,C,2,0
4,76,C,4,0
4,76,C,6,0
4,124,C,11,0
4,124,C,13,0
4,124,C,15,0
4,126,C,19,0
4,126,C,21,0
4,126,C,23,0
4,76,E,2,0
4,76,E,4,0
4,76,E,6,0
4,124,E,11,0
4,124,E,13,0
4,124,E,15,4
4,126,E,19,0
4,126,E,21,0
4,126,E,23,0
4,76,G,2,0
4,76,G,4,0
4,76,G,6,0
4,124,G,11,0
4,124,G,13,0
4,124,G,15,0
4,126,G,19,0
4,126,G,21,0
4,126,G,23,0
4,128,J,2,0
4,128,J,4,0
4,128,J,6,0
4,130,J,11,0
4,130,J,13,0
4,130,J,15,0
4,1,J,19,8
4,1,J,21,0
4,1,J,23,0
4,128,L,2,0
4,128,L,4,0
4,128,L,6,0
4,130,L,11,0
4,130,L,13,0
4,130,L,15,0
4,1,L,19,0
4,1,L,21,4
4,1,L,23,0
4,128,N,2,0
4,128,N,4,0
4,128,N,6,0
4,130,N,11,0
4,130,N,13,0
4,130,N,15,0
4,1,N,19,10
4,1,N,21,0
4,1,N,23,0
4,128,P,2,0
4,128,P,4,4
4,128,P,6,0
4,130,P,11,0
4,130,P,13,0
4,130,P,15,4
4,1,P,19,16
4,1,P,21,0
4,1,P,23,0
5,82,A,2,0
5,82,A,4,4
5,82,A,6,0
5,88,A,10,10
5,88,A,12,0
5,88,A,14,8
5,58,A,19,0
5,58,A,21,0
5,58,A,23,0
5,82,C,2,0
5,82,C,4,0
5,82,C,6,4
5,88,C,10,11
5,88,C,12,8
5,88,C,14,0
5,58,C,19,0
5,58,C,21,0
5,58,C,23,0
5,82,E,2,4
5,82,E,4,5
5,82,E,6,0
5,88,E,10,0
5,88,E,12,0
5,88,E,14,9
5,58,E,19,4
5,58,E,21,0
5,58,E,23,0
5,82,G,2,7
5,82,G,4,0
5,82,G,6,4
5,88,G,10,0
5,88,G,12,0
5,88,G,14,4
5,58,G,19,0
5,58,G,21,0
5,58,G,23,0
5,80,J,2,0
5,80,J,4,0
5,80,J,6,10
5,72,J,10,0
5,72,J,12,0
5,72,J,14,0
5,74,J,19,0
5,74,J,21,0
5,74,J,23,0
5,80,L,2,0
5,80,L,4,0
5,80,L,6,0
5,72,L,10,0
5,72,L,12,0
5,72,L,14,0
5,74,L,19,0
5,74,L,21,0
5,74,L,23,0
5,80,N,2,0
5,80,N,4,7
5,80,N,6,0
5,72,N,10,0
5,72,N,12,0
5,72,N,14,4
5,74,N,19,0
5,74,N,21,0
5,74,N,23,4
5,80,P,2,0
5,80,P,4,0
5,80,P,6,9
5,72,P,10,8
5,72,P,12,0
5,72,P,14,10
5,74,P,19,0
5,74,P,21,0
5,74,P,23,5
6,76,A,2,0
6,76,A,4,0
6,76,A,6,4
6,124,A,11,0
6,124,A,13,8
6,124,A,15,10
6,126,A,19,4
6,126,A,21,0
6,126,A,23,0
6,76,C,2,0
6,76,C,4,0
6,76,C,6,0
6,124,C,11,0
6,124,C,13,4
6,124,C,15,4
6,126,C,19,0
6,126,C,21,0
6,126,C,23,0
6,76,E,2,0
6,76,E,4,0
6,76,E,6,0
6,124,E,11,0
6,124,E,13,0
6,124,E,15,4
6,126,E,19,0
6,126,E,21,0
6,126,E,23,0
6,76,G,2,0
6,76,G,4,0
6,76,G,6,0
6,124,G,11,0
6,124,G,13,0
6,124,G,15,0
6,126,G,19,0
6,126,G,21,0
6,126,G,23,0
6,128,J,2,0
6,128,J,4,0
6,128,J,6,0
6,130,J,11,0
6,130,J,13,0
6,130,J,15,0
6,1,J,19,7
6,1,J,21,4
6,1,J,23,0
6,128,L,2,0
6,128,L,4,4
6,128,L,6,0
6,130,L,11,0
6,130,L,13,0
6,130,L,15,0
6,1,L,19,0
6,1,L,21,0
6,1,L,23,0
6,128,N,2,0
6,128,N,4,0
6,128,N,6,8
6,130,N,11,0
6,130,N,13,0
6,130,N,15,0
6,1,N,19,0
6,1,N,21,0
6,1,N,23,0
6,128,P,2,5
6,128,P,4,7
6,128,P,6,0
6,130,P,11,0
6,130,P,13,4
6,130,P,15,0
6,1,P,19,0
6,1,P,21,0
6,1,P,23,0
7,82,A,2,0
7,82,A,4,0
7,82,A,6,0
7,88,A,10,0
7,88,A,12,9
7,88,A,14,7
7,58,A,19,0
7,58,A,21,0
7,58,A,23,0
7,82,C,2,0
7,82,C,4,6
7,82,C,6,7
7,88,C,10,7
7,88,C,12,7
7,88,C,14,9
7,58,C,19,0
7,58,C,21,0
7,58,C,23,0
7,82,E,2,0
7,82,E,4,7
7,82,E,6,7
7,88,E,10,9
7,88,E,12,12
7,88,E,14,0
7,58,E,19,0
7,58,E,21,0
7,58,E,23,0
7,82,G,2,0
7,82,G,4,5
7,82,G,6,0
7,88,G,10,11
7,88,G,12,8
7,88,G,14,0
7,58,G,19,0
7,58,G,21,0
7,58,G,23,0
7,80,J,2,4
7,80,J,4,0
7,80,J,6,0
7,72,J,10,4
7,72,J,12,0
7,72,J,14,0
7,74,J,19,5
7,74,J,21,0
7,74,J,23,0
7,80,L,2,0
7,80,L,4,9
7,80,L,6,0
7,72,L,10,0
7,72,L,12,0
7,72,L,14,0
7,74,L,19,0
7,74,L,21,0
7,74,L,23,0
7,80,N,2,5
7,80,N,4,9
7,80,N,6,13
7,72,N,10,0
7,72,N,12,4
7,72,N,14,4
7,74,N,19,4
7,74,N,21,0
7,74,N,23,0
7,80,P,2,0
7,80,P,4,10
7,80,P,6,11
7,72,P,10,0
7,72,P,12,0
7,72,P,14,0
7,74,P,19,5
7,74,P,21,4
7,74,P,23,0
8,76,A,2,0
8,76,A,4,0
8,76,A,6,0
8,124,A,11,7
8,124,A,13,9
8,124,A,15,0
8,126,A,19,0
8,126,A,21,4
8,126,A,23,0
8,76,C,2,0
8,76,C,4,0
8,76,C,6,0
8,124,C,11,4
8,124,C,13,0
8,124,C,15,0
8,126,C,19,0
8,126,C,21,4
8,126,C,23,0
8,76,E,2,0
8,76,E,4,0
8,76,E,6,0
8,124,E,11,0
8,124,E,13,0
8,124,E,15,0
8,126,E,19,0
8,126,E,21,0
8,126,E,23,0
8,76,G,2,0
8,76,G,4,0
8,76,G,6,0
8,124,G,11,0
8,124,G,13,0
8,124,G,15,0
8,126,G,19,0
8,126,G,21,0
8,126,G,23,0
8,128,J,2,0
8,128,J,4,0
8,128,J,6,0
8,130,J,11,0
8,130,J,13,0
8,130,J,15,0
8,1,J,19,13
8,1,J,21,0
8,1,J,23,0
8,128,L,2,0
8,128,L,4,0
8,128,L,6,5
8,130,L,11,0
8,130,L,13,0
8,130,L,15,0
8,1,L,19,0
8,1,L,21,0
8,1,L,23,0
8,128,N,2,0
8,128,N,4,0
8,128,N,6,0
8,130,N,11,0
8,130,N,13,0
8,130,N,15,0
8,1,N,19,19
8,1,N,21,15
8,1,N,23,0
8,128,P,2,0
8,128,P,4,7
8,128,P,6,7
8,130,P,11,0
8,130,P,13,0
8,130,P,15,0
8,1,P,19,19
8,1,P,21,16
8,1,P,23,16
9,82,A,2,0
9,82,A,4,4
9,82,A,6,4
9,88,A,10,13
9,88,A,12,0
9,88,A,14,0
9,58,A,19,0
9,58,A,21,0
9,58,A,23,0
9,82,C,2,0
9,82,C,4,0
9,82,C,6,0
9,88,C,10,7
9,88,C,12,4
9,88,C,14,7
9,58,C,19,0
9,58,C,21,0
9,58,C,23,0
9,82,E,2,0
9,82,E,4,0
9,82,E,6,10
9,88,E,10,0
9,88,E,12,6
9,88,E,14,0
9,58,E,19,0
9,58,E,21,0
9,58,E,23,0
9,82,G,2,0
9,82,G,4,0
9,82,G,6,0
9,88,G,10,4
9,88,G,12,9
9,88,G,14,0
9,58,G,19,0
9,58,G,21,0
9,58,G,23,0
9,80,J,2,0
9,80,J,4,4
9,80,J,6,0
9,72,J,10,0
9,72,J,12,0
9,72,J,14,0
9,74,J,19,0
9,74,J,21,0
9,74,J,23,0
9,80,L,2,0
9,80,L,4,0
9,80,L,6,0
9,72,L,10,0
9,72,L,12,0
9,72,L,14,4
9,74,L,19,0
9,74,L,21,0
9,74,L,23,0
9,80,N,2,4
9,80,N,4,0
9,80,N,6,7
9,72,N,10,0
9,72,N,12,0
9,72,N,14,4
9,74,N,19,0
9,74,N,21,0
9,74,N,23,0
9,80,P,2,13
9,80,P,4,15
9,80,P,6,0
9,72,P,10,8
9,72,P,12,7
9,72,P,14,9
9,74,P,19,0
9,74,P,21,0
9,74,P,23,0
10,76,A,2,4
10,76,A,4,5
10,76,A,6,0
10,124,A,11,8
10,124,A,13,7
10,124,A,15,0
10,126,A,19,0
10,126,A,21,0
10,126,A,23,0
10,76,C,2,0
10,76,C,4,4
10,76,C,6,0
10,124,C,11,5
10,124,C,13,4
10,124,C,15,0
10,126,C,19,0
10,126,C,21,0
10,126,C,23,0
10,76,E,2,0
10,76,E,4,0
10,76,E,6,0
10,124,E,11,4
10,124,E,13,5
10,124,E,15,0
10,126,E,19,0
10,126,E,21,0
10,126,E,23,0
10,76,G,2,0
10,76,G,4,0
10,76,G,6,4
10,124,G,11,0
10,124,G,13,0
10,124,G,15,0
10,126,G,19,0
10,126,G,21,0
10,126,G,23,0
10,128,J,2,0
10,128,J,4,0
10,128,J,6,4
10,130,J,11,0
10,130,J,13,0
10,130,J,15,0
10,1,J,19,0
10,1,J,21,9
10,1,J,23,4
10,128,L,2,4
10,128,L,4,0
10,128,L,6,4
10,130,L,11,0
10,130,L,13,0
10,130,L,15,0
10,1,L,19,0
10,1,L,21,0
10,1,L,23,0
10,128,N,2,4
10,128,N,4,4
10,128,N,6,0
10,130,N,11,0
10,130,N,13,0
10,130,N,15,0
10,1,N,19,7
10,1,N,21,7
10,1,N,23,0
10,128,P,2,9
10,128,P,4,0
10,128,P,6,0
10,130,P,11,0
10,130,P,13,0
10,130,P,15,0
10,1,P,19,10
10,1,P,21,0
10,1,P,23,4
11,82,A,2,0
11,82,A,4,4
11,82,A,6,0
11,88,A,10,16
11,88,A,12,18
11,88,A,14,0
11,58,A,19,0
11,58,A,21,0
11,58,A,23,0
11,82,C,2,4
11,82,C,4,5
11,82,C,6,4
11,88,C,10,0
11,88,C,12,0
11,88,C,14,0
11,58,C,19,4
11,58,C,21,0
11,58,C,23,0
11,82,E,2,4
11,82,E,4,0
11,82,E,6,0
11,88,E,10,8
11,88,E,12,0
11,88,E,14,7
11,58,E,19,0
11,58,E,21,0
11,58,E,23,0
11,82,G,2,4
11,82,G,4,0
11,82,G,6,4
11,88,G,10,0
11,88,G,12,0
11,88,G,14,0
11,58,G,19,0
11,58,G,21,0
11,58,G,23,0
11,80,J,2,0
11,80,J,4,0
11,80,J,6,8
11,72,J,10,0
11,72,J,12,0
11,72,J,14,0
11,74,J,19,0
11,74,J,21,0
11,74,J,23,0
11,80,L,2,4
11,80,L,4,9
11,80,L,6,8
11,72,L,10,0
11,72,L,12,0
11,72,L,14,0
11,74,L,19,0
11,74,L,21,0
11,74,L,23,0
11,80,N,2,0
11,80,N,4,8
11,80,N,6,9
11,72,N,10,0
11,72,N,12,0
11,72,N,14,0
11,74,N,19,0
11,74,N,21,4
11,74,N,23,0
11,80,P,2,0
11,80,P,4,13
11,80,P,6,0
11,72,P,10,0
11,72,P,12,0
11,72,P,14,8
11,74,P,19,0
11,74,P,21,0
11,74,P,23,4
12,76,A,2,0
12,76,A,4,0
12,76,A,6,0
12,124,A,11,8
12,124,A,13,0
12,124,A,15,0
12,126,A,19,0
12,126,A,21,0
12,126,A,23,0
12,76,C,2,0
12,76,C,4,0
12,76,C,6,0
12,124,C,11,0
12,124,C,13,0
12,124,C,15,4
12,126,C,19,0
12,126,C,21,0
12,126,C,23,0
12,76,E,2,0
12,76,E,4,0
12,76,E,6,0
12,124,E,11,0
12,124,E,13,0
12,124,E,15,0
12,126,E,19,0
12,126,E,21,0
12,126,E,23,0
12,76,G,2,0
12,76,G,4,0
12,76,G,6,0
12,124,G,11,0
12,124,G,13,5
12,124,G,15,0
12,126,G,19,0
12,126,G,21,0
12,126,G,23,0
12,128,J,2,0
12,128,J,4,0
12,128,J,6,0
12,130,J,11,0
12,130,J,13,0
12,130,J,15,0
12,1,J,19,9
12,1,J,21,5
12,1,J,23,0
12,128,L,2,0
12,128,L,4,0
12,128,L,6,4
12,130,L,11,0
12,130,L,13,0
12,130,L,15,0
12,1,L,19,10
12,1,L,21,4
12,1,L,23,0
12,128,N,2,0
12,128,N,4,0
12,128,N,6,4
12,130,N,11,0
12,130,N,13,0
12,130,N,15,0
12,1,N,19,0
12,1,N,21,0
12,1,N,23,0
12,128,P,2,0
12,128,P,4,0
12,128,P,6,4
12,130,P,11,0
12,130,P,13,0
12,130,P,15,0
12,1,P,19,8
12,1,P,21,0
12,1,P,23,0
13,82,A,2,79
13,82,A,4,97
13,82,A,6,100
13,88,A,10,101
13,88,A,12,93
13,88,A,14,98
13,58,A,19,42
13,58,A,21,40
13,58,A,23,39
13,82,C,2,70
13,82,C,4,66
13,82,C,6,78
13,88,C,10,111
13,88,C,12,94
13,88,C,14,101
13,58,C,19,37
13,58,C,21,37
13,58,C,23,31
13,82,E,2,70
13,82,E,4,82
13,82,E,6,91
13,88,E,10,105
13,88,E,12,106
13,88,E,14,111
13,58,E,19,44
13,58,E,21,40
13,58,E,23,36
13,82,G,2,72
13,82,G,4,77
13,82,G,6,93
13,88,G,10,104
13,88,G,12,102
13,88,G,14,108
13,58,G,19,48
13,58,G,21,46
13,58,G,23,37
13,80,J,2,109
13,80,J,4,151
13,80,J,6,165
13,72,J,10,60
13,72,J,12,62
13,72,J,14,67
13,74,J,19,69
13,74,J,21,65
13,74,J,23,54
13,80,L,2,99
13,80,L,4,138
13,80,L,6,150
13,72,L,10,65
13,72,L,12,63
13,72,L,14,66
13,74,L,19,69
13,74,L,21,64
13,74,L,23,56
13,80,N,2,125
13,80,N,4,140
13,80,N,6,143
13,72,N,10,68
13,72,N,12,71
13,72,N,14,73
13,74,N,19,67
13,74,N,21,65
13,74,N,23,57
13,80,P,2,139
13,80,P,4,145
13,80,P,6,136
13,72,P,10,79
13,72,P,12,81
13,72,P,14,85
13,74,P,19,86
13,74,P,21,77
13,74,P,23,67
14,76,A,2,71
14,76,A,4,82
14,76,A,6,88
14,124,A,11,62
14,124,A,13,55
14,124,A,15,56
14,126,A,19,24
14,126,A,21,21
14,126,A,23,20
14,76,C,2,88
14,76,C,4,82
14,76,C,6,84
14,124,C,11,51
14,124,C,13,53
14,124,C,15,57
14,126,C,19,23
14,126,C,21,19
14,126,C,23,14
14,76,E,2,73
14,76,E,4,74
14,76,E,6,83
14,124,E,11,49
14,124,E,13,53
14,124,E,15,52
14,126,E,19,21
14,126,E,21,18
14,126,E,23,16
14,76,G,2,69
14,76,G,4,75
14,76,G,6,75
14,124,G,11,46
14,124,G,13,55
14,124,G,15,54
14,126,G,19,21
14,126,G,21,20
14,126,G,23,17
14,128,J,2,54
14,128,J,4,38
14,128,J,6,43
14,130,J,11,20
14,130,J,13,14
14,130,J,15,18
14,1,J,19,97
14,1,J,21,88
14,1,J,23,81
14,128,L,2,46
14,128,L,4,38
14,128,L,6,41
14,130,L,11,14
14,130,L,13,16
14,130,L,15,17
14,1,L,19,94
14,1,L,21,82
14,1,L,23,74
14,128,N,2,47
14,128,N,4,41
14,128,N,6,40
14,130,N,11,17
14,130,N,13,15
14,130,N,15,18
14,1,N,19,114
14,1,N,21,87
14,1,N,23,83
14,128,P,2,54
14,128,P,4,48
14,128,P,6,40
14,130,P,11,22
14,130,P,13,21
14,130,P,15,19
14,1,P,19,75
14,1,P,21,69
14,1,P,23,74
15,82,A,2,90
15,82,A,4,90
15,82,A,6,80
15,88,A,10,114
15,88,A,12,103
15,88,A,14,100
15,58,A,19,37
15,58,A,21,37
15,58,A,23,38
15,82,C,2,73
15,82,C,4,69
15,82,C,6,78
15,88,C,10,117
15,88,C,12,114
15,88,C,14,115
15,58,C,19,38
15,58,C,21,38
15,58,C,23,31
15,82,E,2,71
15,82,E,4,78
15,82,E,6,77
15,88,E,10,98
15,88,E,12,111
15,88,E,14,98
15,58,E,19,47
15,58,E,21,41
15,58,E,23,33
15,82,G,2,74
15,82,G,4,89
15,82,G,6,88
15,88,G,10,95
15,88,G,12,103
15,88,G,14,103
15,58,G,19,48
15,58,G,21,46
15,58,G,23,39
15,80,J,2,129
15,80,J,4,162
15,80,J,6,180
15,72,J,10,64
15,72,J,12,63
15,72,J,14,65
15,74,J,19,67
15,74,J,21,71
15,74,J,23,62
15,80,L,2,120
15,80,L,4,146
15,80,L,6,160
15,72,L,10,68
15,72,L,12,64
15,72,L,14,65
15,74,L,19,76
15,74,L,21,68
15,74,L,23,57
15,80,N,2,114
15,80,N,4,136
15,80,N,6,146
15,72,N,10,79
15,72,N,12,79
15,72,N,14,76
15,74,N,19,76
15,74,N,21,71
15,74,N,23,63
15,80,P,2,126
15,80,P,4,140
15,80,P,6,134
15,72,P,10,84
15,72,P,12,85
15,72,P,14,88
15,74,P,19,84
15,74,P,21,77
15,74,P,23,76
16,76,A,2,103
16,76,A,4,88
16,76,A,6,83
16,124,A,11,54
16,124,A,13,53
16,124,A,15,53
16,126,A,19,27
16,126,A,21,0
16,126,A,23,23
16,76,C,2,92
16,76,C,4,85
16,76,C,6,81
16,124,C,11,50
16,124,C,13,49
16,124,C,15,59
16,126,C,19,25
16,126,C,21,16
16,126,C,23,15
16,76,E,2,71
16,76,E,4,78
16,76,E,6,82
16,124,E,11,48
16,124,E,13,51
16,124,E,15,46
16,126,E,19,22
16,126,E,21,0
16,126,E,23,14
16,76,G,2,75
16,76,G,4,81
16,76,G,6,77
16,124,G,11,46
16,124,G,13,48
16,124,G,15,45
16,126,G,19,21
16,126,G,21,18
16,126,G,23,0
16,128,J,2,56
16,128,J,4,49
16,128,J,6,47
16,130,J,11,18
16,130,J,13,21
16,130,J,15,16
16,1,J,19,97
16,1,J,21,87
16,1,J,23,78
16,128,L,2,51
16,128,L,4,47
16,128,L,6,47
16,130,L,11,18
16,130,L,13,11
16,130,L,15,16
16,1,L,19,104
16,1,L,21,85
16,1,L,23,70
16,128,N,2,56
16,128,N,4,53
16,128,N,6,52
16,130,N,11,15
16,130,N,13,18
16,130,N,15,18
16,1,N,19,114
16,1,N,21,93
16,1,N,23,86
16,128,P,2,67
16,128,P,4,55
16,128,P,6,49
16,130,P,11,25
16,130,P,13,26
16,130,P,15,24
16,1,P,19,100
16,1,P,21,83
16,1,P,23,81
17,82,A,2,67
17,82,A,4,82
17,82,A,6,83
17,88,A,10,103
17,88,A,12,104
17,88,A,14,89
17,58,A,19,45
17,58,A,21,45
17,58,A,23,47
17,82,C,2,62
17,82,C,4,72
17,82,C,6,79
17,88,C,10,113
17,88,C,12,99
17,88,C,14,97
17,58,C,19,55
17,58,C,21,41
17,58,C,23,37
17,82,E,2,67
17,82,E,4,74
17,82,E,6,84
17,88,E,10,116
17,88,E,12,102
17,88,E,14,97
17,58,E,19,58
17,58,E,21,48
17,58,E,23,38
17,82,G,2,73
17,82,G,4,78
17,82,G,6,74
17,88,G,10,118
17,88,G,12,114
17,88,G,14,107
17,58,G,19,64
17,58,G,21,57
17,58,G,23,48
17,80,J,2,155
17,80,J,4,186
17,80,J,6,204
17,72,J,10,74
17,72,J,12,76
17,72,J,14,80
17,74,J,19,83
17,74,J,21,76
17,74,J,23,71
17,80,L,2,131
17,80,L,4,173
17,80,L,6,187
17,72,L,10,82
17,72,L,12,82
17,72,L,14,91
17,74,L,19,84
17,74,L,21,81
17,74,L,23,75
17,80,N,2,142
17,80,N,4,166
17,80,N,6,161
17,72,N,10,75
17,72,N,12,82
17,72,N,14,86
17,74,N,19,82
17,74,N,21,85
17,74,N,23,84
17,80,P,2,170
17,80,P,4,154
17,80,P,6,130
17,72,P,10,92
17,72,P,12,97
17,72,P,14,98
17,74,P,19,85
17,74,P,21,88
17,74,P,23,100
18,76,A,2,87
18,76,A,4,83
18,76,A,6,83
18,124,A,11,58
18,124,A,13,59
18,124,A,15,60
18,126,A,19,29
18,126,A,21,29
18,126,A,23,29
18,76,C,2,77
18,76,C,4,67
18,76,C,6,76
18,124,C,11,68
18,124,C,13,56
18,124,C,15,56
18,126,C,19,29
18,126,C,21,24
18,126,C,23,20
18,76,E,2,60
18,76,E,4,56
18,76,E,6,69
18,124,E,11,62
18,124,E,13,58
18,124,E,15,53
18,126,E,19,26
18,126,E,21,21
18,126,E,23,19
18,76,G,2,65
18,76,G,4,66
18,76,G,6,68
18,124,G,11,56
18,124,G,13,56
18,124,G,15,56
18,126,G,19,25
18,126,G,21,22
18,126,G,23,21
18,128,J,2,63
18,128,J,4,51
18,128,J,6,51
18,130,J,11,29
18,130,J,13,27
18,130,J,15,33
18,1,J,19,98
18,1,J,21,76
18,1,J,23,66
18,128,L,2,58
18,128,L,4,60
18,128,L,6,55
18,130,L,11,0
18,130,L,13,21
18,130,L,15,27
18,1,L,19,94
18,1,L,21,81
18,1,L,23,60
18,128,N,2,69
18,128,N,4,65
18,128,N,6,62
18,130,N,11,25
18,130,N,13,21
18,130,N,15,28
18,1,N,19,103
18,1,N,21,54
18,1,N,23,50
18,128,P,2,65
18,128,P,4,66
18,128,P,6,60
18,130,P,11,29
18,130,P,13,32
18,130,P,15,32
18,1,P,19,79
18,1,P,21,61
18,1,P,23,58
19,82,A,2,101
19,82,A,4,97
19,82,A,6,87
19,88,A,10,132
19,88,A,12,138
19,88,A,14,145
19,58,A,19,54
19,58,A,21,51
19,58,A,23,45
19,82,C,2,50
19,82,C,4,69
19,82,C,6,81
19,88,C,10,145
19,88,C,12,148
19,88,C,14,172
19,58,C,19,62
19,58,C,21,55
19,58,C,23,49
19,82,E,2,47
19,82,E,4,79
19,82,E,6,96
19,88,E,10,153
19,88,E,12,159
19,88,E,14,159
19,58,E,19,62
19,58,E,21,53
19,58,E,23,49
19,82,G,2,58
19,82,G,4,91
19,82,G,6,96
19,88,G,10,165
19,88,G,12,151
19,88,G,14,157
19,58,G,19,62
19,58,G,21,59
19,58,G,23,50
19,80,J,2,181
19,80,J,4,230
19,80,J,6,249
19,72,J,10,100
19,72,J,12,95
19,72,J,14,99
19,74,J,19,98
19,74,J,21,87
19,74,J,23,61
19,80,L,2,196
19,80,L,4,242
19,80,L,6,257
19,72,L,10,101
19,72,L,12,107
19,72,L,14,110
19,74,L,19,96
19,74,L,21,77
19,74,L,23,54
19,80,N,2,229
19,80,N,4,262
19,80,N,6,264
19,72,N,10,103
19,72,N,12,105
19,72,N,14,104
19,74,N,19,102
19,74,N,21,61
19,74,N,23,51
19,80,P,2,255
19,80,P,4,239
19,80,P,6,235
19,72,P,10,111
19,72,P,12,105
19,72,P,14,108
19,74,P,19,118
19,74,P,21,81
19,74,P,23,63
20,76,A,2,127
20,76,A,4,125
20,76,A,6,125
20,124,A,11,127
20,124,A,13,122
20,124,A,15,124
20,126,A,19,57
20,126,A,21,56
20,126,A,23,56
20,76,C,2,122
20,76,C,4,123
20,76,C,6,130
20,124,C,11,106
20,124,C,13,113
20,124,C,15,105
20,126,C,19,49
20,126,C,21,50
20,126,C,23,47
20,76,E,2,106
20,76,E,4,116
20,76,E,6,118
20,124,E,11,105
20,124,E,13,105
20,124,E,15,102
20,126,E,19,48
20,126,E,21,48
20,126,E,23,45
20,76,G,2,105
20,76,G,4,110
